drug_id,prot_id,affinity
CHEMBL360847,Q9Y463,12.199999035
CHEMBL81229,P41743,10.702059991
CHEMBL1682540,P29597,11.800000504
CHEMBL451401,Q08881,10.900000053
CHEMBL1971245,P45984,11.500000186
CHEMBL1989474,Q13464,11.1
CHEMBL1990884,Q9NYL2,11.200000128
CHEMBL1974480,P11309,11.999998417
CHEMBL223460,Q13464,11.1
CHEMBL1984162,P53778,11.599999679
CHEMBL263188,Q02156,10.224938737
CHEMBL1966816,P29597,11.800000504
CHEMBL2003420,P07333,11.699999383
CHEMBL1983111,P51817,12.1
CHEMBL2002099,Q9HAZ1,12.800002849
CHEMBL1992536,O15530,11.500000186
CHEMBL1241483,P00519,12.353365801
CHEMBL1986263,P29317,11.599999679
CHEMBL1975128,P07333,11.699999383
CHEMBL2000508,P10721,11.999998417
CHEMBL2004637,Q04771,11.800000504
CHEMBL1980489,P29317,11.599999679
CHEMBL468125,P17252,10.401029995999998
CHEMBL2002599,P36507,11.500000186
CHEMBL358130,O94806,12.020818754
CHEMBL75680,P68400,10.1
CHEMBL1982383,P53350,11.200000128
CHEMBL1992796,Q9HBY8,11.1
CHEMBL213423,P24941,11.1
CHEMBL1984206,Q96GD4,11.300000237
CHEMBL1984586,P07948,12.699997654
CHEMBL1999718,O15264,11.200000128
CHEMBL1967531,P51817,11.900000875
CHEMBL1995712,P11309,12.1
CHEMBL1973893,Q13976,11.800000504
CHEMBL213618,P10721,13.058607315
CHEMBL1979516,O43781,11.300000237
CHEMBL1242119,P12931,12.379840697
CHEMBL1970522,Q7L7X3,11.1
CHEMBL2006765,Q06418,12.599996932
CHEMBL1981133,Q06187,11.300000237
CHEMBL1968791,Q12851,11.599999679
CHEMBL468280,P23443,11.300000237
CHEMBL1978271,P49760,11.500000186
CHEMBL1966703,P07333,11.699999383
CHEMBL2006276,Q05655,11.200000128
CHEMBL2005936,Q13188,11.200000128
CHEMBL1997275,Q06187,11.300000237
CHEMBL2007375,Q5S007,11.699999383
CHEMBL514499,Q13976,12.599996932
CHEMBL1993424,Q9NR20,11.200000128
CHEMBL2004892,Q06418,11.800000504
CHEMBL1985095,Q9Y6M4,11.300000237
CHEMBL1979883,O14757,11.200000128
CHEMBL2002726,P04629,11.699999383
CHEMBL1975534,P35916,11.300000237
CHEMBL1968791,Q9UEE5,12.199999035
CHEMBL1967720,O00444,13.399988938
CHEMBL1968590,P07332,11.800000504
CHEMBL1964644,P49137,11.200000128
CHEMBL1994040,P05129,11.200000128
CHEMBL246970,P00533,11.800000504
CHEMBL95737,P41743,10.1
CHEMBL1976220,P45983,11.599999679
CHEMBL481491,P04629,11.699999383
CHEMBL1970709,P06241,12.199999035
CHEMBL1970913,Q8TDC3,11.1
CHEMBL1958401,P50613,12.299998172
CHEMBL262433,Q9NWZ3,11.1
CHEMBL1982610,Q16513,11.200000128
CHEMBL2001019,Q04912,11.500000186
CHEMBL1969523,P00519,12.299998172
CHEMBL415233,Q15139,10.1
CHEMBL1230122,O96013,11.400000202
CHEMBL1964692,P31751,11.200000128
CHEMBL2001288,P05129,11.200000128
CHEMBL351295,Q05655,13.1
CHEMBL2001288,P41743,11.400000202
CHEMBL1984760,O43293,11.500000186
CHEMBL1997846,Q9UQM7,11.599999679
CHEMBL274064,Q9Y243,11.1
CHEMBL604712,P31749,11.1
CHEMBL1987793,P35916,11.300000237
CHEMBL437747,P04629,11.699999383
CHEMBL1980715,P35916,11.300000237
CHEMBL1288582,Q96GD4,12.668636236
CHEMBL185569,Q96SB4,11.200000128
CHEMBL1969537,P04629,12.499996913
CHEMBL1241860,P78527,12.765546249
CHEMBL1974157,Q8TDC3,11.1
CHEMBL1964644,P51451,11.900000875
CHEMBL1990885,P29317,11.599999679
CHEMBL1986603,P51957,11.300000237
CHEMBL351380,Q05513,11.1
CHEMBL1969506,Q8TDC3,11.1
CHEMBL1999428,P07332,11.800000504
CHEMBL1965423,P51957,11.300000237
CHEMBL1989423,Q8IU85,10.300000031
CHEMBL2004447,P53350,11.200000128
CHEMBL1968791,P48729,11.300000237
CHEMBL1241270,P00533,11.006578315
CHEMBL260135,O14965,11.500000186
CHEMBL1986869,O00418,11.500000186
CHEMBL1991188,Q86V86,11.200000128
CHEMBL1990223,Q02750,11.599999679
CHEMBL1991180,P11309,12.799991797
CHEMBL80024,Q05513,11.1
CHEMBL208286,P22612,11.1
CHEMBL2003482,O15530,11.500000186
CHEMBL127898,P07333,11.699999383
CHEMBL1614705,Q7L7X3,11.1
CHEMBL1987679,Q9HCP0,11.300000237
CHEMBL1998470,Q06187,11.300000237
CHEMBL1972659,P28482,11.200000128
CHEMBL1997041,P49840,11.300000237
CHEMBL1996390,Q9Y243,11.1
CHEMBL362814,P53778,10.798970004
CHEMBL208118,Q9Y478,11.1
CHEMBL2006276,Q13554,11.200000128
CHEMBL1964804,P51957,11.300000237
CHEMBL1995813,P45984,11.500000186
CHEMBL1967116,P35916,14.700326279
CHEMBL1993781,P08069,11.800000504
CHEMBL2004355,P04629,11.699999383
CHEMBL1971029,P51957,12.1
CHEMBL1992644,O14757,10.800000069
CHEMBL1985092,P43405,12.1
CHEMBL130163,P05771,13.224938737
CHEMBL1974416,Q13627,12.399997603
CHEMBL1965836,O14757,11.200000128
CHEMBL1983715,O94806,13.1
CHEMBL78573,Q05655,10.418758763
CHEMBL451401,P31751,10.200000019
CHEMBL1990346,Q13464,12.199999035
CHEMBL1990904,Q96RG2,11.900000875
CHEMBL1973893,P53350,11.200000128
CHEMBL1964441,Q06187,11.699999383
CHEMBL1971289,P00519,11.699999383
CHEMBL1998435,P05129,11.200000128
CHEMBL271381,Q06187,12.299998172
CHEMBL1967252,Q06418,10.200000019
CHEMBL1242373,P51451,13.000008766
CHEMBL293338,Q04759,10.901342913
CHEMBL1973860,P42685,11.699999383
CHEMBL2004647,P05129,11.200000128
CHEMBL1984044,O15075,11.1
CHEMBL1966808,P12931,11.800000504
CHEMBL508928,Q9HCP0,11.300000237
CHEMBL2004871,Q9HCP0,11.300000237
CHEMBL1242568,O00329,12.947711656
CHEMBL1977138,Q13131,13.299970641
CHEMBL1983070,Q16288,11.599999679
CHEMBL1242380,P48736,11.821246399
CHEMBL1965387,Q06418,11.599999679
CHEMBL1982400,Q9HAZ1,14.500116928
CHEMBL2002682,Q13627,11.300000237
CHEMBL1682546,P06493,11.200000128
CHEMBL1242118,P54760,11.165501549
CHEMBL220057,P06213,11.699999383
CHEMBL1976158,Q16539,12.1
CHEMBL2002450,Q13627,10.300000031
CHEMBL1989646,P06493,12.499996913
CHEMBL1825138,P08581,13.994724976
CHEMBL1973720,Q9H2X6,13.500007822
CHEMBL1993424,P06241,13.299970641
CHEMBL2002446,Q8IW41,11.900000875
CHEMBL1973483,Q9NR20,11.200000128
CHEMBL1995832,O43293,11.999998417
CHEMBL1996176,P09619,12.950003451
CHEMBL424872,P00519,12.299998172
CHEMBL47940,P05129,10.58148606
CHEMBL1999774,O14757,11.200000128
CHEMBL1979773,P49841,11.500000186
CHEMBL1995736,O00444,11.500000186
CHEMBL1974328,O43293,13.1
CHEMBL2001019,P53667,11.599999679
CHEMBL1971801,O96017,11.599999679
CHEMBL1999126,Q9H2G2,11.1
CHEMBL1241491,P42336,11.67024772
CHEMBL2004692,O43781,11.300000237
CHEMBL1991674,P04629,11.699999383
CHEMBL1964382,Q8IU85,11.699999383
CHEMBL1977749,Q14164,12.199999035
CHEMBL207400,Q9HAZ1,12.199999035
CHEMBL456294,Q96GD4,10.1
CHEMBL2007064,P49840,11.200000128
CHEMBL1993781,Q8TDC3,11.1
CHEMBL394619,P15735,11.400000202
CHEMBL2004033,Q06418,11.699999383
CHEMBL1975900,P17612,12.899998135
CHEMBL517647,Q13188,11.32184875
CHEMBL1988437,Q00535,11.300000237
CHEMBL1982866,P51451,11.900000875
CHEMBL1967878,Q12851,14.400162274
CHEMBL1987756,P07948,11.900000875
CHEMBL1992937,O15111,11.500000186
CHEMBL1976455,P31751,11.200000128
CHEMBL1988995,P23443,11.300000237
CHEMBL1271692,P17948,11.1
CHEMBL1969843,Q9H2X6,11.599999679
CHEMBL1991285,P35916,12.499996913
CHEMBL332575,P17252,10.377777536
CHEMBL2003817,Q13555,11.300000237
CHEMBL2000481,Q13882,11.699999383
CHEMBL1987359,P49760,11.200000128
CHEMBL248757,O95819,13.299970641
CHEMBL1081198,Q02763,13.273925197
CHEMBL1992242,O15264,11.200000128
CHEMBL1965660,P12931,11.800000504
CHEMBL1988608,O15264,11.200000128
CHEMBL1966703,Q13464,11.1
CHEMBL1980715,P45983,11.599999679
CHEMBL1996923,Q00535,11.1
CHEMBL1975256,Q9Y243,11.1
CHEMBL266487,P41743,12.821246399
CHEMBL2000393,Q9UEE5,12.499996913
CHEMBL278819,P05771,10.1
CHEMBL1682357,O14965,12.399997603
CHEMBL1975500,Q9HAZ1,12.1
CHEMBL2205766,Q13131,11.1
CHEMBL1987034,Q9H3Y6,12.699997654
CHEMBL1994693,Q16620,11.800000504
CHEMBL1996500,P27448,11.300000237
CHEMBL1990583,O43293,11.999998417
CHEMBL1989957,Q9HBH9,11.1
CHEMBL1997892,Q9HAZ1,11.699999383
CHEMBL2001224,Q9UM73,11.999998417
CHEMBL1970189,Q9H2X6,11.599999679
CHEMBL53596,P05129,12.401029996
CHEMBL2004311,Q13555,11.300000237
CHEMBL131590,Q05513,12.738272164
CHEMBL1986328,Q13554,11.200000128
CHEMBL1990254,P06213,11.400000202
CHEMBL1990288,Q5VT25,11.349999839
CHEMBL1970074,Q08881,11.900000875
CHEMBL1987359,P49841,11.300000237
CHEMBL1516890,Q9HBY8,11.699999383
CHEMBL1988075,Q06187,11.999998417
CHEMBL1971606,Q16620,11.500000186
CHEMBL1964444,Q13131,11.699999383
CHEMBL243298,Q9HAZ1,13.399988938
CHEMBL460746,P35968,11.622878745
CHEMBL210928,O96013,11.379818756
CHEMBL2005375,P53778,11.300000237
CHEMBL2004544,Q86V86,11.200000128
CHEMBL1995811,Q12851,11.699999383
CHEMBL2002613,O95819,11.400000202
CHEMBL460702,P35968,12.844727495
CHEMBL2000408,O00311,11.999998417
CHEMBL1994526,P51812,11.500000186
CHEMBL1982980,Q7L7X3,11.400000202
CHEMBL1976455,Q05513,11.200000128
CHEMBL1999918,Q13188,11.900000875
CHEMBL87084,P17252,11.1
CHEMBL322711,Q05655,9.798970004
CHEMBL1980763,Q16288,11.599999679
CHEMBL377383,O43741,11.108773924
CHEMBL402846,P42685,13.299970641
CHEMBL1986970,P24941,12.299998172
CHEMBL1976420,P17612,11.500000186
CHEMBL1994040,P10721,11.999998417
CHEMBL1973961,Q8NE63,11.200000128
CHEMBL102301,P00519,10.622878745
CHEMBL1983575,Q16620,12.599996932
CHEMBL1233654,P05771,11.435792102
CHEMBL412142,Q96SB4,11.200000128
CHEMBL404367,P30530,13.99997427
CHEMBL1995813,P12931,11.800000504
CHEMBL1988153,Q9H3Y6,11.900000875
CHEMBL1980329,P49840,12.299998172
CHEMBL1682545,Q14680,11.900000875
CHEMBL210928,P06493,11.175305061
CHEMBL1164180,Q13557,11.599999679
CHEMBL1994830,P51817,13.8000571
CHEMBL1974998,P52333,11.400000202
CHEMBL583144,P52333,11.900000875
CHEMBL1992673,P08581,10.400000029
CHEMBL377383,P49841,11.277451099
CHEMBL1991395,Q14012,11.300000237
CHEMBL1973808,P28482,11.200000128
CHEMBL1981047,P07332,13.8000571
CHEMBL1970735,Q15303,11.500000186
CHEMBL1682346,Q13464,12.599996932
CHEMBL350084,P17612,11.1
CHEMBL1682558,P06241,12.199999035
CHEMBL1967887,O60674,11.900000875
CHEMBL481491,O15530,11.500000186
CHEMBL1967998,O94806,13.399988938
CHEMBL1998611,Q15303,11.500000186
CHEMBL1997597,Q8TDC3,11.1
CHEMBL373101,O15111,11.1
CHEMBL1965351,P53350,11.200000128
CHEMBL56236,Q05513,10.401029995999998
CHEMBL1973711,P49841,12.699997654
CHEMBL2005792,Q96GD4,11.400000202
CHEMBL539474,Q13153,11.1
CHEMBL514499,P31749,11.200000128
CHEMBL1972258,Q9BZL6,11.1
CHEMBL1992242,Q00535,11.1
CHEMBL505637,Q02763,12.196910013
CHEMBL1241473,O60674,13.699980365
CHEMBL1995740,Q9HBY8,11.1
CHEMBL2006564,P06239,13.1
CHEMBL2004716,P06493,11.200000128
CHEMBL1991078,Q9H3Y6,11.900000875
CHEMBL1988838,P11309,11.1
CHEMBL1973145,P22607,11.800000504
CHEMBL1968127,P51451,11.900000875
CHEMBL249097,P51451,15.1
CHEMBL2001485,P06241,13.200015437
CHEMBL606964,P28482,10.999629455
CHEMBL1979516,Q13153,11.1
CHEMBL1991640,P04626,11.900000875
CHEMBL1987793,P28482,11.200000128
CHEMBL1969537,Q13153,11.1
CHEMBL1967998,Q16288,12.399997603
CHEMBL2001547,Q7L7X3,11.1
CHEMBL1823221,P00519,10.401029995999998
CHEMBL1982880,Q00535,11.1
CHEMBL1983111,Q05513,11.200000128
CHEMBL1993661,Q9BXA7,14.200179498
CHEMBL201307,Q96GD4,14.25490196
CHEMBL1984162,P00533,12.799991797
CHEMBL1997023,O43293,12.799991797
CHEMBL1998193,P48730,11.200000128
CHEMBL1982465,O75582,12.799991797
CHEMBL1240544,Q9UBF8,10.98941029
CHEMBL1982361,Q08881,11.900000875
CHEMBL495727,P35968,14.1
CHEMBL1977346,Q13188,11.699999383
CHEMBL1992220,P36888,14.1
CHEMBL1971186,Q9H4B4,11.200000128
CHEMBL539474,P22607,11.800000504
CHEMBL1241946,P08631,11.738272164
CHEMBL231209,Q05513,11.200000128
CHEMBL1990346,P36888,11.699999383
CHEMBL2002690,P49841,11.500000186
CHEMBL1982135,Q13627,12.499996913
CHEMBL103055,P78368,10.1
CHEMBL323601,P05771,9.798970004
CHEMBL262433,Q9UEE5,11.500000186
CHEMBL151546,Q04759,10.336572006
CHEMBL1966816,Q13188,12.899998135
CHEMBL1987359,P11309,11.1
CHEMBL2003456,P11362,11.400000202
CHEMBL1969942,P09619,12.399997603
CHEMBL1974617,O95819,10.800000069
CHEMBL1970522,Q8IW41,11.900000875
CHEMBL1991678,P11309,11.300000237
CHEMBL1080994,P16234,10.401029995999998
CHEMBL497151,O94806,11.1
CHEMBL512054,P04626,14.1
CHEMBL2006778,Q9NWZ3,11.1
CHEMBL1980896,Q5VT25,11.1
CHEMBL1964777,P11362,11.400000202
CHEMBL1970314,P51617,11.200000128
CHEMBL1682540,O14965,11.900000875
CHEMBL463054,P08069,14.1
CHEMBL1988537,P06239,11.699999383
CHEMBL2003341,P27448,11.300000237
CHEMBL1969942,P49760,11.500000186
CHEMBL1971186,Q9NYL2,11.200000128
CHEMBL259850,P36888,11.699999383
CHEMBL386636,P17252,13.180921908
CHEMBL1983534,P43405,11.900000875
CHEMBL1996780,O96013,11.400000202
CHEMBL2006299,P16234,11.699999383
CHEMBL1984206,P08581,11.599999679
CHEMBL1989856,P51955,11.1
CHEMBL488646,P41279,11.117728767
CHEMBL2002446,O00418,11.500000186
CHEMBL1976220,Q05397,11.900000875
CHEMBL1982753,P07333,11.699999383
CHEMBL52387,P49840,11.200000128
CHEMBL1992922,Q96GD4,11.500000186
CHEMBL265315,O94806,12.65129368
CHEMBL2003420,Q9H2X6,11.599999679
CHEMBL1983309,Q13153,11.1
CHEMBL1966035,P49760,11.200000128
CHEMBL1984788,P35968,11.200000128
CHEMBL1997764,Q13557,11.999998417
CHEMBL2046883,P43405,11.1
CHEMBL1933551,Q15118,10.622878745
CHEMBL1992732,Q05513,11.200000128
CHEMBL1986603,Q16644,11.1
CHEMBL1997119,P29376,10.300000031
CHEMBL1987793,Q9HCP0,11.300000237
CHEMBL1984500,P11309,10.400000029
CHEMBL2205766,Q04759,11.1
CHEMBL1971021,Q9H2G2,11.1
CHEMBL1997822,P08069,11.800000504
CHEMBL1965660,Q96SB4,11.999998417
CHEMBL1967560,P07948,11.900000875
CHEMBL1970806,Q9H2X6,11.599999679
CHEMBL2001288,O15264,11.200000128
CHEMBL1968070,P08069,12.1
CHEMBL1997534,P36888,11.699999383
CHEMBL2006450,P45984,11.500000186
CHEMBL1980896,Q13131,11.300000237
CHEMBL1977604,O94806,11.1
CHEMBL377408,P45983,13.539713034
CHEMBL1973793,P17948,11.500000186
CHEMBL1985074,Q5VT25,11.1
CHEMBL363648,Q7KZI7,11.200000128
CHEMBL2007375,P49841,13.500007822
CHEMBL1978371,O60674,11.699999383
CHEMBL1976376,Q14164,11.699999383
CHEMBL153843,Q04912,11.1
CHEMBL1984842,O15111,11.500000186
CHEMBL1983575,P49841,12.199999035
CHEMBL1974870,Q9UEE5,12.399997603
CHEMBL1240545,P00533,10.986056648
CHEMBL382822,O14757,11.1
CHEMBL340921,P31751,11.200000128
CHEMBL271381,P05129,11.200000128
CHEMBL1996646,O14965,12.299998172
CHEMBL404367,Q13153,11.1
CHEMBL392642,P23443,11.300000237
CHEMBL1970317,Q9H2X6,11.699999383
CHEMBL1516890,P49840,11.200000128
CHEMBL2000801,Q06418,11.800000504
CHEMBL2006581,Q16620,11.400000202
CHEMBL1164180,P11309,11.400000202
CHEMBL1990583,P68400,11.300000237
CHEMBL1958401,Q16620,11.400000202
CHEMBL1989029,O43293,11.999998417
CHEMBL1241588,P00519,11.986056648
CHEMBL1976220,P51817,11.900000875
CHEMBL1992536,P16591,11.900000875
CHEMBL1682341,P07948,11.900000875
CHEMBL1992937,P45984,11.800000504
CHEMBL1970290,P09619,12.599996932
CHEMBL1983393,Q16539,11.500000186
CHEMBL1983589,Q00535,12.499996913
CHEMBL272453,Q9H2G2,11.1
CHEMBL1986499,Q96SB4,11.200000128
CHEMBL1997041,Q05397,11.000000142
CHEMBL2000354,P51957,11.300000237
CHEMBL2004033,P11362,11.500000186
CHEMBL1969301,P51812,11.599999679
CHEMBL1993243,Q14680,11.900000875
CHEMBL1979176,P45983,11.599999679
CHEMBL1972462,Q02750,11.599999679
CHEMBL1969755,P08069,11.800000504
CHEMBL1996831,O94806,11.400000202
CHEMBL1992740,Q13188,11.200000128
CHEMBL1974935,P24941,11.200000128
CHEMBL1992323,Q5VT25,11.1
CHEMBL2000801,P16591,11.900000875
CHEMBL1976134,Q9Y6M4,11.500000186
CHEMBL2004716,O60674,12.899998135
CHEMBL1968070,O75116,11.200000128
CHEMBL1972142,Q16288,12.599996932
CHEMBL1991188,Q05655,13.299970641
CHEMBL1996390,P49137,11.200000128
CHEMBL2006567,O60674,11.900000875
CHEMBL275224,O15111,10.923908741
CHEMBL1965660,O60674,13.8000571
CHEMBL1972840,P36888,12.499996913
CHEMBL202721,P08581,11.699999383
CHEMBL2003482,Q06187,11.999998417
CHEMBL2002407,Q05655,11.200000128
CHEMBL482767,P22607,11.800000504
CHEMBL1970314,Q96PF2,11.900000875
CHEMBL1999126,P53667,11.1
CHEMBL1979252,P36888,11.699999383
CHEMBL1982506,O00311,11.999998417
CHEMBL226471,Q9P1W9,11.900000875
CHEMBL592030,Q13464,13.200015437
CHEMBL1978099,P07949,13.200015437
CHEMBL1682546,P07332,11.800000504
CHEMBL223460,O00418,11.500000186
CHEMBL1966087,P45984,11.500000186
CHEMBL405405,P24723,9.986056648
CHEMBL1984274,Q9NYL2,11.599999679
CHEMBL1977681,Q8N4C8,11.999998417
CHEMBL515982,Q02750,10.1
CHEMBL102346,P36888,12.738272164
CHEMBL383172,P17612,10.401029995999998
CHEMBL482967,Q14012,11.400000202
CHEMBL1159467,Q15139,10.895880017
CHEMBL1727312,P16591,12.499996913
CHEMBL1991434,Q9Y6M4,11.300000237
CHEMBL535331,P06493,11.200000128
CHEMBL1990904,Q9BXA7,11.900000875
CHEMBL253969,Q5S007,11.699999383
CHEMBL1999714,P49137,11.200000128
CHEMBL1988717,P51955,11.400000202
CHEMBL1982476,Q9HBY8,11.599999679
CHEMBL1971801,P07333,11.699999383
CHEMBL210963,Q9UGJ0,11.108773924
CHEMBL1975490,Q16288,11.999998417
CHEMBL2005899,P07948,11.900000875
CHEMBL52387,P31751,11.200000128
CHEMBL1614705,P08581,11.599999679
CHEMBL396523,Q9Y4K4,13.200015437
CHEMBL1982924,P68400,11.599999679
CHEMBL1980297,Q14289,11.999998417
CHEMBL1983449,O14965,11.900000875
CHEMBL1998110,Q12851,11.699999383
CHEMBL2001751,Q13882,11.699999383
CHEMBL1999931,P12931,12.299998172
CHEMBL259922,P68400,11.300000237
CHEMBL451964,P29317,11.599999679
CHEMBL1993548,P07332,11.800000504
CHEMBL1614705,Q06418,11.800000504
CHEMBL1984548,Q8N4C8,13.600038134
CHEMBL1976134,Q16288,12.599996932
CHEMBL2003271,P49840,11.300000237
CHEMBL1990482,Q5VT25,11.1
CHEMBL1975418,Q9BZL6,11.800000504
CHEMBL1972568,Q9Y243,11.1
CHEMBL523823,P11309,14.501015316
CHEMBL1991728,Q13464,12.399997603
CHEMBL1972221,Q16288,11.999998417
CHEMBL462120,Q16620,11.400000202
CHEMBL1974288,Q00535,11.300000237
CHEMBL1973211,Q16513,11.200000128
CHEMBL412142,Q13153,11.1
CHEMBL249282,P51451,11.900000875
CHEMBL1999714,Q13153,11.1
CHEMBL246970,P23443,11.300000237
CHEMBL1992645,P45984,11.500000186
CHEMBL1966703,Q9H4B4,11.200000128
CHEMBL1971017,P49840,13.500007822
CHEMBL223367,P53778,11.200000119
CHEMBL1986855,P52333,12.699997654
CHEMBL2007479,P52333,11.400000202
CHEMBL153843,P09619,12.293820026
CHEMBL599428,P00519,11.1
CHEMBL396523,O00444,13.99997427
CHEMBL249282,P31751,11.200000128
CHEMBL1982874,Q14012,11.400000202
CHEMBL1968406,Q7KZI7,12.1
CHEMBL1976240,P41743,11.400000202
CHEMBL2003638,O43781,13.000008766
CHEMBL1985681,Q05397,11.300000237
CHEMBL1978167,Q9UQM7,11.500000186
CHEMBL413375,P05771,11.622878745
CHEMBL2007138,P31751,10.800000069
CHEMBL1966343,Q9UEE5,13.99997427
CHEMBL1966514,P49137,11.200000128
CHEMBL1990212,Q9NWZ3,11.1
CHEMBL1879463,Q16288,11.599999679
CHEMBL383172,Q13554,10.401029995999998
CHEMBL78917,P17252,10.702059991
CHEMBL1974870,P49841,13.899970733
CHEMBL415049,Q9H0K1,11.500000186
CHEMBL1997193,O96013,11.800000504
CHEMBL2005475,P48729,11.300000237
CHEMBL1965423,Q9HCP0,11.300000237
CHEMBL1258913,O14965,13.844727495
CHEMBL336961,O15264,11.200000128
CHEMBL1998159,P08922,12.499996913
CHEMBL402846,Q06418,11.800000504
CHEMBL2007372,Q16513,11.200000128
CHEMBL1242656,P54760,13.36760624
CHEMBL1977634,P49336,12.1
CHEMBL1241490,P00519,12.369217724
CHEMBL2004311,P42685,13.8000571
CHEMBL1996646,O94806,12.1
CHEMBL2000345,Q13188,11.300000237
CHEMBL1972290,Q16513,14.400162274
